id,periode,pecahan,value
btm,24,FK,240.0
btm,13,GK,-243.0
btm,14,GK,-302.0
btm,15,GK,-220.0
btm,16,GK,522.0
btm,17,GK,162.0
btm,18,GK,662.0
btm,19,GK,38.0
btm,20,GK,254.0
btm,21,GK,-384.0
btm,22,GK,451.0
btm,23,GK,71.0
btm,24,GK,-147.0
btm,13,GL,-222.0
btm,14,GL,222.0
btm,15,GL,-130.0
btm,16,GL,518.0
btm,17,GL,-2.0
btm,18,GL,198.0
btm,19,GL,-238.0
btm,20,GL,-194.0
btm,21,GL,-26.0
btm,22,GL,-546.0
btm,23,GL,214.0
btm,24,GL,322.0
btm,13,HL,-115.0
btm,14,HL,-600.0
btm,15,HL,112.0
btm,16,HL,-124.0
btm,17,HL,71.0
btm,18,HL,-18.0
btm,19,HL,-27.0
btm,20,HL,-170.0
btm,21,HL,852.0
btm,22,HL,-144.0
btm,23,HL,-152.0
btm,24,HL,-163.0
btm,13,IL,202.0
btm,14,IL,-624.0
btm,15,IL,74.0
btm,16,IL,388.0
btm,17,IL,98.0
btm,18,IL,112.0
btm,19,IL,542.0
btm,20,IL,12.0
btm,21,IL,-58.0
btm,22,IL,290.0
btm,23,IL,46.0
btm,24,IL,36.0
btm,13,JL,536.0
btm,14,JL,48.0
btm,15,JL,476.0
btm,16,JL,-82.0
btm,17,JL,-34.0
btm,18,JL,-468.0
btm,19,JL,350.0
btm,20,JL,476.0
btm,21,JL,502.0
btm,22,JL,98.0
btm,23,JL,-588.0
btm,24,JL,290.0
btm,13,KL,290.0
btm,14,KL,-30.0
btm,15,KL,190.0
btm,16,KL,-170.0
btm,17,KL,-370.0
btm,18,KL,-550.0
btm,19,KL,290.0
btm,20,KL,330.0
btm,21,KL,-330.0
btm,22,KL,-350.0
btm,23,KL,150.0
btm,24,KL,790.0
bgl,13,AK,-683.0
bgl,14,AK,-378.0
bgl,15,AK,472.0
bgl,16,AK,279.0
bgl,17,AK,374.0
bgl,18,AK,-311.0
bgl,19,AK,-399.0
bgl,20,AK,198.0
bgl,21,AK,-114.0
bgl,22,AK,661.0
bgl,23,AK,235.0
bgl,24,AK,199.0
bgl,13,BK,-613.0
bgl,14,BK,15.0
bgl,15,BK,-418.0
bgl,16,BK,153.0
bgl,17,BK,533.0
bgl,18,BK,-46.0
bgl,19,BK,345.0
bgl,20,BK,25.0
bgl,21,BK,130.0
bgl,22,BK,560.0
bgl,23,BK,-87.0
bgl,24,BK,-404.0
bgl,13,CK,374.0
bgl,14,CK,-20.0
bgl,15,CK,148.0
bgl,16,CK,301.0
bgl,17,CK,-149.0
bgl,18,CK,19.0
bgl,19,CK,107.0
bgl,20,CK,116.0
bgl,21,CK,-236.0
bgl,22,CK,-139.0
bgl,23,CK,45.0
bgl,24,CK,-218.0
bgl,13,DK,351.0
bgl,14,DK,-181.0
bgl,15,DK,188.0
bgl,16,DK,-529.0
bgl,17,DK,171.0
bgl,18,DK,-391.0
bgl,19,DK,367.0
bgl,20,DK,-457.0
bgl,21,DK,97.0
bgl,22,DK,-143.0
bgl,23,DK,-5.0
bgl,24,DK,-144.0
bgl,13,EK,650.0
bgl,14,EK,-70.0
bgl,15,EK,-151.0
bgl,16,EK,-621.0
bgl,17,EK,807.0
bgl,18,EK,711.0
bgl,19,EK,0.0
bgl,20,EK,178.0
bgl,21,EK,303.0
bgl,22,EK,174.0
bgl,23,EK,-480.0
bgl,24,EK,-214.0
bgl,13,FK,-286.0
bgl,14,FK,98.0
bgl,15,FK,-59.0
bgl,16,FK,-14.0
bgl,17,FK,324.0
bgl,18,FK,344.0
bgl,19,FK,66.0
bgl,20,FK,213.0
bgl,21,FK,-3.0
bgl,22,FK,648.0
bgl,23,FK,-137.0
bgl,24,FK,320.0
bgl,13,GK,-14.0
bgl,14,GK,79.0
bgl,15,GK,283.0
bgl,16,GK,-186.0
bgl,17,GK,326.0
bgl,18,GK,-348.0
bgl,19,GK,729.0
bgl,20,GK,92.0
bgl,21,GK,-77.0
bgl,22,GK,345.0
bgl,23,GK,-333.0
bgl,24,GK,631.0
bgl,13,GL,-46.0
bgl,14,GL,46.0
bgl,15,GL,642.0
bgl,16,GL,306.0
bgl,17,GL,214.0
bgl,18,GL,198.0
bgl,19,GL,-714.0
bgl,20,GL,18.0
bgl,21,GL,-358.0
bgl,22,GL,-190.0
bgl,23,GL,258.0
bgl,24,GL,-6.0
bgl,13,HL,-192.0
bgl,14,HL,-209.0
bgl,15,HL,186.0
bgl,16,HL,-76.0
bgl,17,HL,-399.0
bgl,18,HL,-345.0
bgl,19,HL,-285.0
bgl,20,HL,-88.0
bgl,21,HL,5.0
bgl,22,HL,-331.0
bgl,23,HL,684.0
bgl,24,HL,8.0
bgl,13,IL,-490.0
bgl,14,IL,370.0
bgl,15,IL,142.0
bgl,16,IL,224.0
bgl,17,IL,-62.0
bgl,18,IL,154.0
bgl,19,IL,-550.0
bgl,20,IL,-328.0
bgl,21,IL,-658.0
bgl,22,IL,-96.0
bgl,23,IL,62.0
bgl,24,IL,-552.0
bgl,13,JL,-486.0
bgl,14,JL,172.0
bgl,15,JL,-410.0
bgl,16,JL,-14.0
bgl,17,JL,-94.0
bgl,18,JL,-178.0
bgl,19,JL,-46.0
bgl,20,JL,-232.0
bgl,21,JL,-516.0
bgl,22,JL,-124.0
bgl,23,JL,-34.0
bgl,24,JL,294.0
bgl,13,KL,310.0
bgl,14,KL,10.0
bgl,15,KL,390.0
bgl,16,KL,410.0
bgl,17,KL,-150.0
bgl,18,KL,-230.0
bgl,19,KL,-170.0
bgl,20,KL,-350.0
bgl,21,KL,470.0
bgl,22,KL,90.0
bgl,23,KL,570.0
bgl,24,KL,-410.0
cbn,13,AK,-763.0
cbn,14,AK,-60.0
cbn,15,AK,487.0
cbn,16,AK,1178.0
cbn,17,AK,1133.0
cbn,18,AK,-978.0
cbn,19,AK,-503.0
cbn,20,AK,-316.0
cbn,21,AK,258.0
cbn,22,AK,416.0
cbn,23,AK,49.0
cbn,24,AK,385.0
cbn,13,BK,-958.0
cbn,14,BK,-1097.0
cbn,15,BK,1017.0
cbn,16,BK,700.0
cbn,17,BK,1770.0
cbn,18,BK,-1367.0
cbn,19,BK,-367.0
cbn,20,BK,231.0
cbn,21,BK,67.0
cbn,22,BK,185.0
cbn,23,BK,-215.0
cbn,24,BK,526.0
cbn,13,CK,-311.0
cbn,14,CK,29.0
cbn,15,CK,-50.0
cbn,16,CK,-174.0
cbn,17,CK,-597.0
cbn,18,CK,-77.0
cbn,19,CK,264.0
cbn,20,CK,111.0
cbn,21,CK,-369.0
cbn,22,CK,317.0
cbn,23,CK,612.0
cbn,24,CK,143.0
cbn,13,DK,-926.0
cbn,14,DK,-90.0
cbn,15,DK,-307.0
cbn,16,DK,29.0
cbn,17,DK,1128.0
cbn,18,DK,671.0
cbn,19,DK,-199.0
cbn,20,DK,-24.0
cbn,21,DK,210.0
cbn,22,DK,469.0
cbn,23,DK,265.0
cbn,24,DK,261.0
cbn,13,EK,-628.0
cbn,14,EK,78.0
cbn,15,EK,32.0
cbn,16,EK,-306.0
cbn,17,EK,1477.0
cbn,18,EK,-33.0
cbn,19,EK,-175.0
