id,periode,pecahan,value
bgl,12,FK,90
bgl,1,GK,-24
bgl,2,GK,9
bgl,3,GK,13
bgl,4,GK,4
bgl,5,GK,116
bgl,6,GK,22
bgl,7,GK,19
bgl,8,GK,22
bgl,9,GK,13
bgl,10,GK,15
bgl,11,GK,17
bgl,12,GK,21
bgl,1,GL,-96
bgl,2,GL,36
bgl,3,GL,52
bgl,4,GL,16
bgl,5,GL,464
bgl,6,GL,88
bgl,7,GL,76
bgl,8,GL,88
bgl,9,GL,52
bgl,10,GL,60
bgl,11,GL,68
bgl,12,GL,84
bgl,1,HL,-82
bgl,2,HL,21
bgl,3,HL,16
bgl,4,HL,14
bgl,5,HL,31
bgl,6,HL,5
bgl,7,HL,25
bgl,8,HL,22
bgl,9,HL,15
bgl,10,HL,19
bgl,11,HL,14
bgl,12,HL,18
bgl,1,IL,-180
bgl,2,IL,20
bgl,3,IL,12
bgl,4,IL,14
bgl,5,IL,28
bgl,6,IL,4
bgl,7,IL,20
bgl,8,IL,22
bgl,9,IL,12
bgl,10,IL,14
bgl,11,IL,12
bgl,12,IL,18
bgl,1,JL,-116
bgl,2,JL,22
bgl,3,JL,20
bgl,4,JL,16
bgl,5,JL,36
bgl,6,JL,12
bgl,7,JL,24
bgl,8,JL,18
bgl,9,JL,14
bgl,10,JL,26
bgl,11,JL,16
bgl,12,JL,24
bgl,1,KL,0
bgl,2,KL,0
bgl,3,KL,0
bgl,4,KL,0
bgl,5,KL,0
bgl,6,KL,0
bgl,7,KL,0
bgl,8,KL,0
bgl,9,KL,0
bgl,10,KL,0
bgl,11,KL,0
bgl,12,KL,0
cbn,1,AK,-633
cbn,2,AK,70
cbn,3,AK,357
cbn,4,AK,528
cbn,5,AK,1243
cbn,6,AK,-688
cbn,7,AK,-153
cbn,8,AK,54
cbn,9,AK,208
cbn,10,AK,106
cbn,11,AK,259
cbn,12,AK,335
cbn,1,BK,-948
cbn,2,BK,73
cbn,3,BK,447
cbn,4,BK,610
cbn,5,BK,1740
cbn,6,BK,-997
cbn,7,BK,3
cbn,8,BK,181
cbn,9,BK,17
cbn,10,BK,135
cbn,11,BK,295
cbn,12,BK,236
cbn,1,CK,-621
cbn,2,CK,19
cbn,3,CK,20
cbn,4,CK,76
cbn,5,CK,253
cbn,6,CK,-7
cbn,7,CK,-106
cbn,8,CK,21
cbn,9,CK,-19
cbn,10,CK,-13
cbn,11,CK,2
cbn,12,CK,33
cbn,1,DK,-716
cbn,2,DK,40
cbn,3,DK,43
cbn,4,DK,219
cbn,5,DK,898
cbn,6,DK,1
cbn,7,DK,-109
cbn,8,DK,-74
cbn,9,DK,20
cbn,10,DK,19
cbn,11,DK,15
cbn,12,DK,71
cbn,1,EK,-938
cbn,2,EK,48
cbn,3,EK,62
cbn,4,EK,224
cbn,5,EK,1727
cbn,6,EK,-3
cbn,7,EK,-125
cbn,8,EK,-228
cbn,9,EK,-31
cbn,10,EK,25
cbn,11,EK,42
cbn,12,EK,142
cbn,1,FK,-910
cbn,2,FK,61
cbn,3,FK,128
cbn,4,FK,234
cbn,5,FK,1452
cbn,6,FK,30
cbn,7,FK,-31
cbn,8,FK,-12
cbn,9,FK,-52
cbn,10,FK,55
cbn,11,FK,60
cbn,12,FK,245
cbn,1,GK,-38
cbn,2,GK,5
cbn,3,GK,10
cbn,4,GK,30
cbn,5,GK,139
cbn,6,GK,4
cbn,7,GK,3
cbn,8,GK,7
cbn,9,GK,10
cbn,10,GK,10
cbn,11,GK,10
cbn,12,GK,14
cbn,1,GL,-152
cbn,2,GL,20
cbn,3,GL,40
cbn,4,GL,120
cbn,5,GL,556
cbn,6,GL,16
cbn,7,GL,12
cbn,8,GL,28
cbn,9,GL,40
cbn,10,GL,40
cbn,11,GL,40
cbn,12,GL,56
cbn,1,HL,-253
cbn,2,HL,-156
cbn,3,HL,-201
cbn,4,HL,-93
cbn,5,HL,-39
